subject,RMSE,R2,Acc@0.1,Acc@0.25,Acc@0.5
subject_1,0.21173714884791311,0.7359773251448453,0.5626822157434402,0.7551020408163265,0.9854227405247813
subject_11,0.43090679147376987,-0.4224987061580243,0.1322314049586777,0.378099173553719,0.6849173553719008
subject_13,0.23812020890378888,0.7114245740589822,0.5724465558194775,0.7862232779097387,0.9596199524940617
subject_2,0.20451855070487246,0.813240982540613,0.5988200589970502,0.7876106194690266,0.9646017699115044
subject_4,0.47221174190864124,-0.16167416279461033,0.13078470824949698,0.3380281690140845,0.6780684104627767
subject_5,0.327553380572309,0.21218192837754124,0.22343324250681199,0.4196185286103542,0.9019073569482289
subject_6,0.4249514219586628,-0.11484524449713618,0.029411764705882353,0.17647058823529413,0.8235294117647058
subject_8,0.7323809868799221,-1.1455276612281113,0.5,0.5,0.5
subject_9,0.37059859757077773,0.029031587625099275,0.4367588932806324,0.6027667984189723,0.8438735177865613
