Feature,Mean (Early Fatigue),Mean (Late Fatigue),Cohen's d,Correlation (Fatigue),p-value,Significant (p<0.05)
mean,6.833830319842311e-16,2.991758887410944e-15,-0.015648760961063202,0.016207493777065134,,False
std,1381.685661866148,687.4302691621338,2.3045711112499867,-0.4294576941742897,,False
rms,1381.6856618661482,687.4302691621338,2.3045711112499876,-0.4294576941742898,,False
mav,1243.768694869743,445.78226223684214,2.5713844367491814,-0.43540613014535734,,False
wl,211282.7940340909,94822.40789473684,1.728368012777323,-0.10759194006679368,,False
zc,66.05823863636364,70.6842105263158,-0.2040957219968309,0.20128726889809848,,False
ssc,384.12215909090907,562.0263157894736,-2.056257625924892,0.2765769125014897,,False
mean_freq,42.29812917430263,61.565838676005725,-0.5683754209013846,0.1100404275132551,,False
median_freq,21.05915034822091,32.55263157894737,-0.4151720981704519,0.07609902909997113,,False
fractal_dim,0.3093493625042282,0.41313857203306537,-0.7532473301775954,0.10116457928495287,,False
sample_entropy,0.4027345792399185,0.2698789134067803,0.6800796475482176,0.20387837398811062,,False
spectral_entropy,5.021699879527083,5.695866111871143,-0.8198159369314583,0.24837290219415725,,False
